model,report,tp,fp,fn,hallucination
LLaMa 2,00e162e4080ed1f3a77cb1346d82909e,1,1,0,0
LLaMa 2,042649424ea9fa0f58fce993cc94c2d9,2,3,4,0
LLaMa 2,0731e1f57655c445fe18469c61887c4d,3,1,0,1
LLaMa 2,08566eb78816561955e6f09c4dda6806,1,1,1,0
LLaMa 2,08f2252e212e8d364961df439442b00b,3,1,0,2
LLaMa 2,094bdd31faa1c56e3a3c56a94dba33a5,3,0,3,4
LLaMa 2,0c1774c0f1c3e9acf86d5f6b88a919a3,2,1,1,2
LLaMa 2,0c78ae9be59154a672970677dd78abe2,1,1,1,2
LLaMa 2,0cab33de67d78381c63aedfb4bb611e5,1,2,0,0
LLaMa 2,0cfbac932d3b062eb173b58bd4eb9579,4,0,0,0
LLaMa 2,0cfbfb9199430962ff0f910cd10e5508,2,3,1,0
LLaMa 2,0dba8abbfa0c009cae804856789bdc48,1,0,2,0
LLaMa 2,0e0a3a6365cf94bdfe1822c24d5d6c7f,1,1,0,0
LLaMa 2,0ea31920260efb948f757228059e37bf,1,1,0,0
LLaMa 2,0f7a64fd438c7e9f2b621d2baae66a15,1,2,2,0
LLaMa 2,10381b6612810b00fcab47b4852fad83,1,3,1,0
LLaMa 2,10f748978e62759f8bed31b70e318233,1,1,0,0
LLaMa 2,124c8c6ccde6f2c08a28390d5a2b3ee5,4,0,3,2
LLaMa 2,148fb644bd23b9ea8f2b68eee5e7778c,2,2,1,2
LLaMa 2,176d7659be98f0d9149d4fef75ec62a4,4,2,1,2
LLaMa 2,17b762f58b2c0080b5cd40fd25f67dcc,0,5,1,0
LLaMa 2,182ae24b6955bf3360cfa6e338b90b1b,0,1,0,0
LLaMa 2,18e09d3a3116134cd73a4830b5210e92,4,1,2,2
LLaMa 2,192949f55487696355e02cb868f14ac6,2,2,0,0
LLaMa 2,1ba459ad450c0041a8ed06fbba67425d,0,2,1,0
LLaMa 2,1e8016d0c437fd4cb874351e06d6f5f2,2,0,4,2
LLaMa 2,1f0ca08df8400283ef13fc6fa47ab5cf,2,1,4,2
